"Date","Weight"
"02/16/2019","207.0"
"02/15/2019","202.4"
"02/14/2019","202.2"
"02/13/2019","202.2"
"02/11/2019","204.4"
"02/10/2019","206.0"
"02/09/2019","203.6"
"02/08/2019","203.8"
"02/07/2019","201.8"
"02/06/2019","204.0"
"02/05/2019","201.6"
"02/04/2019","208.4"
"02/02/2019","202.2"
"02/01/2019","201.6"
"01/31/2019","201.0"
"01/30/2019","201.0"
"01/29/2019","202.4"
"01/28/2019","207.4"
"01/27/2019","205.0"
"01/26/2019","204.4"
"01/25/2019","201.2"
"01/24/2019","204.0"
"01/23/2019","205.4"
"01/22/2019","208.6"
"01/21/2019","205.2"
"01/19/2019","202.6"
"01/18/2019","200.6"
"01/17/2019","202.6"
"01/16/2019","203.2"
"01/15/2019","203.0"
"01/14/2019","205.0"
"01/12/2019","204.4"
"01/11/2019","204.2"
"01/10/2019","203.8"
"01/09/2019","203.0"
"01/08/2019","206.0"
"01/07/2019","206.6"
"01/06/2019","205.0"
"01/04/2019","203.8"
"01/03/2019","206.2"
"01/02/2019","208.8"
"12/27/2018","208.2"
"12/26/2018","209.4"
"12/24/2018","204.6"
"12/23/2018","204.2"
"12/22/2018","203.0"
"12/21/2018","201.2"
"12/20/2018","202.8"
"12/19/2018","204.6"
"12/18/2018","203.8"
"12/17/2018","205.6"
"12/16/2018","206.8"
"12/15/2018","203.8"
"12/14/2018","203.2"
"12/13/2018","203.8"
"12/12/2018","202.8"
"12/11/2018","203.8"
"12/10/2018","204.6"
"12/09/2018","205.2"
"12/08/2018","205.6"
"12/07/2018","204.6"
"12/06/2018","206.0"
"12/05/2018","202.2"
"12/04/2018","202.4"
"12/03/2018","208.6"
"12/02/2018","206.8"
"11/30/2018","204.6"
"11/29/2018","204.6"
"11/28/2018","206.8"
"11/27/2018","207.2"
"11/26/2018","207.6"
"11/25/2018","207.2"
"11/20/2018","204.6"
"11/19/2018","206.8"
"11/18/2018","206.4"
"11/17/2018","208.8"
"11/16/2018","208.2"
"11/15/2018","206.8"
"11/14/2018","208.2"
"11/13/2018","208.6"
"11/12/2018","212.4"
"11/11/2018","209.2"
"11/10/2018","209.0"
"11/09/2018","204.6"
"11/08/2018","206.0"
"11/07/2018","207.0"
"11/06/2018","206.4"
"11/05/2018","207.4"
"11/04/2018","206.6"
"11/03/2018","208.0"
"11/02/2018","206.8"
"11/01/2018","208.8"
"10/31/2018","209.6"
"10/30/2018","210.4"
"10/29/2018","210.8"
"10/28/2018","211.2"
"10/27/2018","211.8"
"10/21/2018","209.0"
"10/20/2018","210.0"
"10/19/2018","211.4"
"10/18/2018","213.4"
"10/17/2018","211.8"
"10/16/2018","210.4"
"10/15/2018","212.6"
"10/14/2018","212.8"
"10/13/2018","214.6"
"10/12/2018","213.8"
"10/11/2018","215.2"
"10/10/2018","212.4"
"10/09/2018","212.8"
"10/08/2018","217.8"
"10/07/2018","216.6"
"10/06/2018","213.8"
"10/05/2018","211.0"
"10/04/2018","212.8"
"10/03/2018","213.2"
"10/02/2018","213.8"
"09/29/2018","217.4"
"09/24/2018","223.0"
"09/23/2018","219.0"
"09/22/2018","218.0"
"09/21/2018","214.8"
"09/20/2018","216.0"
"09/19/2018","217.4"
"09/18/2018","219.2"
"09/17/2018","221.2"
"09/16/2018","222.2"
"09/15/2018","223.4"
"09/14/2018","220.0"
"09/13/2018","219.3"
"09/12/2018","219.8"
"09/11/2018","220.4"
"09/10/2018","223.0"
"09/09/2018","227.2"
"09/08/2018","223.0"
"09/07/2018","221.4"
"09/06/2018","222.0"
"09/05/2018","222.0"
"09/04/2018","222.0"
"09/03/2018","227.4"
"08/31/2018","219.0"
"08/29/2018","225.2"
"08/28/2018","225.2"
"08/27/2018","221.8"
"08/23/2018","225.8"
"08/21/2018","226.2"
"08/18/2018","227.6"
"08/16/2018","227.6"
"08/15/2018","228.0"
"08/13/2018","228.4"
"08/12/2018","227.4"
"08/10/2018","229.0"
"08/07/2018","228.6"
"08/05/2018","231.1"
"08/04/2018","231.8"
"07/31/2018","232.0"
"07/30/2018","231.8"
"07/29/2018","232.4"
"07/28/2018","233.2"
"06/03/2018","234.8"
"05/28/2018","233.4"
"05/06/2018","235.0"
"04/09/2018","235.0"
"03/08/2018","235.0"
"01/16/2018","234.6"
"01/01/2018","240.0"
"10/15/2017","226.0"
"07/12/2017","227.0"
"06/26/2017","240.0"
