Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Running","2019-02-16 11:50","2019-02-16 12:25","0:34:40","5.980062653713028","161.17784256559767","181.0","0:05:47","10.350010726117235","482.84999999999957","553.9649999999996"
"Other","2019-02-16 11:04","2019-02-16 11:50","0:46:00",,"84.69484536082474","141.0",,,"275.9429999999964","365.575999999995"
"Other","2019-02-16 10:33","2019-02-16 10:48","0:14:43",,"136.92528735632183","183.0",,,"179.4689999999999","236.7630000000001"
"Other","2019-02-15 05:03","2019-02-15 06:29","1:25:36",,"136.8522372528616","188.0",,,"996.9499999999969","1166.1419999999973"
"Other","2019-02-14 05:05","2019-02-14 06:23","1:17:42",,"135.18364779874213","179.0",,,"829.6069999999982","982.3770000000018"
"Other","2019-02-13 04:59","2019-02-13 06:46","1:26:25",,"122.46808510638297","176.0",,,"903.7149999999957","1136.8280000000004"
"Other","2019-02-12 05:21","2019-02-12 07:35","2:14:02",,"124.00671140939598","177.0",,,"1276.206000000022","1541.1860000000272"
"Other","2019-02-11 05:02","2019-02-11 07:17","2:15:11",,"133.65235173824132","180.0",,,"1459.924000000007","1753.2250000000154"
"Other","2019-02-10 13:01","2019-02-10 14:07","1:06:08",,"133.76190476190476","166.0",,,"742.7229999999954","877.180999999994"
"Other","2019-02-08 05:02","2019-02-08 16:55","11:52:25",,"119.1082474226804","195.0",,,"871.0490000000058","1907.0060000000121"
"Other","2019-02-07 04:59","2019-02-07 07:05","2:06:00",,"119.51370851370851","182.0",,,"1045.3659999999763","1290.4469999999833"
"Other","2019-02-05 05:03","2019-02-05 07:12","2:09:12",,"115.46752319771592","182.0",,,"1066.869999999966","1318.881999999971"
"Other","2019-02-04 19:58","2019-02-04 20:57","0:59:47",,"139.4950980392157","175.0",,,"711.6460000000011","857.6960000000021"
"Other","2019-02-03 07:17","2019-02-03 08:21","1:03:13",,"139.4323899371069","172.0",,,"759.6809999999979","906.5859999999982"
"Other","2019-02-02 06:56","2019-02-02 07:24","0:28:09",,"145.21515151515152","163.0",,,"362.6309999999995","419.03800000000035"
"Elliptical","2019-02-01 19:43","2019-02-01 20:14","0:30:56",,"144.46932515337423","159.0",,,"365.76299999999947","453.5629999999986"
"Other","2019-02-01 05:02","2019-02-01 06:19","1:17:01",,"132.77150192554558","179.0",,,"792.5099999999948","944.1999999999991"
